3500.000 3459.437
3596.597 3570.302
3693.193 3682.228
3789.790 3795.220
3886.386 3909.287
3982.983 4024.435
4079.580 4140.670
4176.176 4257.999
4272.773 4376.427
4369.369 4495.961
4465.966 4616.606
4562.563 4738.365
4659.159 4861.241
4755.756 4985.239
4852.352 5110.357
4948.949 5236.595
5045.546 5363.951
5142.142 5492.421
5238.739 5621.998
5335.335 5752.672
5431.932 5884.434
5528.529 6017.270
5625.125 6151.163
5721.722 6286.095
5818.318 6422.045
5914.915 6558.989
6011.512 6696.901
6108.108 6835.752
6204.705 6975.511
6301.301 7116.145
6397.898 7257.618
6494.494 7399.892
6591.091 7542.929
6687.688 7686.686
6784.284 7831.122
6880.881 7976.193
6977.477 8121.852
7074.074 8268.055
7170.671 8414.754
7267.267 8561.901
7363.864 8709.448
7460.460 8857.347
7557.057 9005.550
7653.654 9154.007
7750.250 9302.672
7846.847 9451.496
7943.443 9600.431
8040.040 9749.432
8136.637 9898.452
8233.233 10047.446
8329.830 10196.371
8426.426 10345.183
8523.023 10493.841
8619.620 10642.304
8716.216 10790.533
8812.813 10938.490
8909.409 11086.140
9006.006 11233.446
9102.603 11380.376
9199.199 11526.898
9295.796 11672.982
9392.392 11818.599
9488.989 11963.722
9585.586 12108.326
9682.182 12252.387
9778.779 12395.882
9875.375 12538.790
9971.972 12681.094
10068.569 12822.774
10165.165 12963.815
10261.762 13104.203
10358.358 13243.924
10454.955 13382.966
10551.552 13521.320
10648.148 13658.975
10744.745 13795.925
10841.341 13932.163
10937.938 14067.684
11034.535 14202.484
11131.131 14336.560
11227.728 14469.910
11324.324 14602.534
11420.921 14734.432
11517.518 14865.605
11614.114 14996.056
11710.711 15125.788
11807.307 15254.805
11903.904 15383.111
12000.501 15510.712
12097.097 15637.614
12193.694 15763.825
12290.290 15889.351
12386.887 16014.202
12483.483 16138.384
12580.080 16261.909
12676.677 16384.785
12773.273 16507.022
12869.870 16628.631
12966.466 16749.622
13063.063 16870.008
13159.660 16989.799
13256.256 17109.007
13352.853 17227.643
13449.449 17345.721
13546.046 17463.253
13642.643 17580.250
13739.239 17696.726
13835.836 17812.692
13932.432 17928.163
14029.029 18043.150
14125.626 18157.667
14222.222 18271.726
14318.819 18385.340
14415.415 18498.522
14512.012 18611.285
14608.609 18723.640
14705.205 18835.601
14801.802 18947.180
14898.398 19058.390
14994.995 19169.241
15091.592 19279.747
15188.188 19389.919
15284.785 19499.769
15381.381 19609.309
15477.978 19718.548
15574.575 19827.499
15671.171 19936.173
15767.768 20044.579
15864.364 20152.729
15960.961 20260.632
16057.558 20368.299
16154.154 20475.738
16250.751 20582.959
16347.347 20689.972
16443.944 20796.785
16540.541 20903.406
16637.137 21009.845
16733.734 21116.108
16830.330 21222.204
16926.927 21328.140
17023.524 21433.924
17120.120 21539.561
17216.717 21645.059
17313.313 21750.425
17409.910 21855.663
17506.507 21960.780
17603.103 22065.782
17699.700 22170.673
17796.296 22275.458
17892.893 22380.142
17989.489 22484.730
18086.086 22589.225
18182.683 22693.632
18279.279 22797.953
18375.876 22902.193
18472.472 23006.353
18569.069 23110.438
18665.666 23214.449
18762.262 23318.388
18858.859 23422.258
18955.455 23526.061
19052.052 23629.798
19148.649 23733.470
19245.245 23837.078
19341.842 23940.624
19438.438 24044.108
19535.035 24147.530
19631.632 24250.890
19728.228 24354.189
19824.825 24457.426
19921.421 24560.601
20018.018 24663.713
20114.615 24766.762
20211.211 24869.746
20307.808 24972.665
20404.404 25075.516
20501.001 25178.300
20597.598 25281.013
20694.194 25383.654
20790.791 25486.221
20887.387 25588.712
20983.984 25691.125
21080.581 25793.458
21177.177 25895.707
21273.774 25997.871
21370.370 26099.945
21466.967 26201.929
21563.564 26303.817
21660.160 26405.608
21756.757 26507.299
21853.353 26608.885
21949.950 26710.363
22046.547 26811.730
22143.143 26912.983
22239.740 27014.116
22336.336 27115.128
22432.933 27216.014
22529.530 27316.769
22626.126 27417.391
22722.723 27517.874
22819.319 27618.215
22915.916 27718.410
23012.513 27818.455
23109.109 27918.344
23205.706 28018.075
23302.302 28117.642
23398.899 28217.041
23495.495 28316.268
23592.092 28415.318
23688.689 28514.187
23785.285 28612.871
23881.882 28711.364
23978.478 28809.663
24075.075 28907.762
24171.672 29005.658
24268.268 29103.345
24364.865 29200.819
24461.461 29298.076
24558.058 29395.111
24654.655 29491.919
24751.251 29588.496
24847.848 29684.837
24944.444 29780.938
25041.041 29876.794
25137.638 29972.400
25234.234 30067.753
25330.831 30162.848
25427.427 30257.679
25524.024 30352.244
25620.621 30446.537
25717.217 30540.554
25813.814 30634.290
25910.410 30727.742
26007.007 30820.904
26103.604 30913.774
26200.200 31006.346
26296.797 31098.616
26393.393 31190.580
26489.990 31282.235
26586.587 31373.575
26683.183 31464.598
26779.780 31555.298
26876.376 31645.672
26972.973 31735.716
27069.570 31825.427
27166.166 31914.800
27262.763 32003.832
27359.359 32092.518
27455.956 32180.856
27552.553 32268.842
27649.149 32356.472
27745.746 32443.742
27842.342 32530.650
27938.939 32617.192
28035.536 32703.363
28132.132 32789.162
28228.729 32874.585
28325.325 32959.629
28421.922 33044.290
28518.519 33128.566
28615.115 33212.453
28711.712 33295.949
28808.308 33379.051
28904.905 33461.755
29001.502 33544.059
29098.098 33625.961
29194.695 33707.458
